"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043270","GO:0043270","positive regulation of monoatomic ion transport","13/285","214/18870",2.37196993535928e-05,0.00475231152931395,0.00374815311147795,"6387/6324/623/5027/2048/287/2847/57620/815/150/134/1230/1520",13
"GO:0051924","GO:0051924","regulation of calcium ion transport","14/285","251/18870",2.99361252287737e-05,0.00559294101939802,0.0044111584762196,"1193/6387/623/5581/5027/287/2847/57620/815/150/845/196051/5743/1230",14
"GO:1901890","GO:1901890","positive regulation of cell junction assembly","9/285","106/18870",3.29286333913538e-05,0.00559294101939802,0.0044111584762196,"26045/23767/7422/2048/84189/2049/57633/54674/40",9
"GO:0002040","GO:0002040","sprouting angiogenesis","12/285","190/18870",3.33415290685172e-05,0.00559294101939802,0.0044111584762196,"4086/6091/3162/7422/144455/8503/1960/57381/168667/3592/5743/5228",12
"GO:0043271","GO:0043271","negative regulation of monoatomic ion transport","10/285","133/18870",3.47533628786507e-05,0.00559294101939802,0.0044111584762196,"6536/1193/23327/5581/10008/2048/5593/150/845/5743",10
"GO:0060326","GO:0060326","cell chemotaxis","16/285","325/18870",3.7638679443029e-05,0.00559294101939802,0.0044111584762196,"7412/4856/6387/7042/1901/7130/51554/7422/146433/1960/3082/9023/3592/6355/5228/1230",16
"GO:0043410","GO:0043410","positive regulation of MAPK cascade","20/285","474/18870",3.77679516870683e-05,0.00559294101939802,0.0044111584762196,"152110/3976/9518/7042/10371/5581/5027/6091/220164/7422/23043/50937/146433/3082/168667/150/6355/134/2263/1230",20
"GO:0048839","GO:0048839","inner ear development","12/285","194/18870",4.089135557752e-05,0.00572465046090408,0.00451503785153977,"9096/9497/7042/2048/84189/168667/6662/9890/2263/3714/5357/220",12
"GO:0048638","GO:0048638","regulation of developmental growth","16/285","328/18870",4.20188671528485e-05,0.00572465046090408,0.00451503785153977,"1382/8153/6387/9518/11221/10371/23327/80031/7422/8200/57731/8292/7472/2263/4803/5357",16
"GO:0050673","GO:0050673","epithelial cell proliferation","20/285","480/18870",4.50162830779718e-05,0.00589713308321431,0.00465107507752972,"4856/6387/11221/6489/7042/1030/55366/6091/3162/10468/7422/8200/1960/3082/168667/3592/7472/6662/2263/5228",20
"GO:0032412","GO:0032412","regulation of monoatomic ion transmembrane transporter activity","13/285","231/18870",5.24776685218096e-05,0.00661996070315865,0.00522116998314457,"6536/1193/6324/23327/5581/10008/2048/287/57620/150/845/3787/1520",13
"GO:0051963","GO:0051963","regulation of synapse assembly","9/285","114/18870",5.85193636464958e-05,0.0071184625921416,0.0056143389483405,"26045/23767/2048/84189/2049/8292/57633/54674/40",9
"GO:0070482","GO:0070482","response to oxygen levels","16/285","343/18870",7.13838044454568e-05,0.00816007768177005,0.00643586186725505,"7412/1277/6659/6387/3976/360/7042/5581/3162/7422/8140/64506/134/5743/2263/5228",16
"GO:0031214","GO:0031214","biomineral tissue development","11/285","175/18870",7.39013537932987e-05,0.00816007768177005,0.00643586186725505,"1277/338773/55603/1901/55366/5027/6662/340419/5743/2263/1230",11
"GO:0022898","GO:0022898","regulation of transmembrane transporter activity","13/285","239/18870",7.42696441969676e-05,0.00816007768177005,0.00643586186725505,"6536/1193/6324/23327/5581/10008/2048/287/57620/150/845/3787/1520",13
"GO:0018108","GO:0018108","peptidyl-tyrosine phosphorylation","14/285","276/18870",8.36767482434934e-05,0.00890634389116683,0.00702444281307221,"9181/5912/85480/3976/5581/8613/7422/2048/146433/3082/8651/150/3592/2263",14
"GO:0060047","GO:0060047","heart contraction","13/285","243/18870",8.78435984720144e-05,0.00905086824896299,0.00713842932637561,"9096/1193/79924/6324/7042/23327/8654/6444/10008/287/57731/845/134",13
"GO:0018212","GO:0018212","peptidyl-tyrosine modification","14/285","278/18870",9.034924264966e-05,0.00905086824896299,0.00713842932637561,"9181/5912/85480/3976/5581/8613/7422/2048/146433/3082/8651/150/3592/2263",14
"GO:1902042","GO:1902042","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors","5/285","31/18870",9.3439573419619e-05,0.00909300534477778,0.00717166289825166,"9181/672/3162/3082/23017",5
"GO:0009612","GO:0009612","response to mechanical stimulus","12/285","213/18870",0.000100527079275443,0.00951097866700437,0.00750131889798039,"1277/6387/7846/623/5027/8200/84189/63895/6662/5743/40/114780",12
"GO:0033002","GO:0033002","muscle cell proliferation","13/285","247/18870",0.000103515317464706,0.00952900462931858,0.00751553599345459,"4856/4086/1649/7042/1901/3162/3082/3592/7472/26011/3725/5743/2263",13
"GO:0032410","GO:0032410","negative regulation of transporter activity","8/285","98/18870",0.0001192577648878,0.0106892617686275,0.00843063202198519,"6536/1193/23327/5581/10008/2048/150/845",8
"GO:2000027","GO:2000027","regulation of animal organ morphogenesis","9/285","126/18870",0.000127033127739742,0.0108934772184337,0.00859169696246338,"23002/55366/6091/7422/4982/3082/7472/6662/340419",9
"GO:0060688","GO:0060688","regulation of morphogenesis of a branching structure","6/285","52/18870",0.000127932791760818,0.0108934772184337,0.00859169696246338,"55366/7422/3082/7472/6662/2263",6
"GO:0034766","GO:0034766","negative regulation of monoatomic ion transmembrane transport","8/285","100/18870",0.000137410927614918,0.0110157275319466,0.00868811591356671,"6536/1193/23327/5581/10008/2048/150/845",8
"GO:0050770","GO:0050770","regulation of axonogenesis","10/285","157/18870",0.000140415325020595,0.0110157275319466,0.00868811591356671,"1382/8153/6387/10371/80031/6091/7422/2048/2049/4803",10
"GO:0003015","GO:0003015","heart process","13/285","255/18870",0.000142229824018087,0.0110157275319466,0.00868811591356671,"9096/1193/79924/6324/7042/23327/8654/6444/10008/287/57731/845/134",13
"GO:0043583","GO:0043583","ear development","12/285","221/18870",0.000142305346860144,0.0110157275319466,0.00868811591356671,"9096/9497/7042/2048/84189/168667/6662/9890/2263/3714/5357/220",12
"GO:0055074","GO:0055074","calcium ion homeostasis","15/285","331/18870",0.000164484888161037,0.0124496784239221,0.00981907449326238,"1193/6387/1649/623/5581/5027/6444/114/287/57620/368/845/6355/134/1230",15
"GO:0007264","GO:0007264","small GTPase mediated signal transduction","19/285","491/18870",0.000182316791283664,0.0134993693720035,0.0106469668502497,"9181/5912/154796/23179/8153/7042/57568/6091/220164/2048/50937/6236/57381/25894/143872/150/79822/4803/85442",19
"GO:0001666","GO:0001666","response to hypoxia","14/285","298/18870",0.000186976468217272,0.0135498266116602,0.0106867625283422,"7412/6659/6387/3976/360/7042/5581/3162/7422/64506/134/5743/2263/5228",14
"GO:0050730","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","12/285","231/18870",0.000214722682426277,0.0152363636738313,0.0120169360866636,"9181/5912/85480/3976/5581/8613/7422/146433/3082/8651/150/3592",12
"GO:0050920","GO:0050920","regulation of chemotaxis","12/285","232/18870",0.000223442791070526,0.0155315540078819,0.0122497530142209,"4856/6387/10371/80031/1901/7130/6091/7422/146433/3592/5228/1230",12
"GO:0048639","GO:0048639","positive regulation of developmental growth","10/285","167/18870",0.00023234061921948,0.015827042981231,0.0124828054789077,"1382/8153/6387/23327/7422/57731/7472/2263/4803/5357",10
"GO:0060306","GO:0060306","regulation of membrane repolarization","5/285","38/18870",0.000253213944732078,0.0168203135216941,0.0132661990009467,"6324/23327/10008/287/845",5
"GO:0032409","GO:0032409","regulation of transporter activity","13/285","271/18870",0.000258157416524881,0.0168203135216941,0.0132661990009467,"6536/1193/6324/23327/5581/10008/2048/287/57620/150/845/3787/1520",13
"GO:0014013","GO:0014013","regulation of gliogenesis","8/285","110/18870",0.000265749723878638,0.0168203135216941,0.0132661990009467,"3976/11221/1959/1030/146433/8140/26011/118738",8
"GO:0060048","GO:0060048","cardiac muscle contraction","9/285","139/18870",0.000266675552017463,0.0168203135216941,0.0132661990009467,"1193/6324/23327/8654/6444/10008/287/845/134",9
"GO:0060395","GO:0060395","SMAD protein signal transduction","7/285","84/18870",0.000279657435059531,0.0170370707309185,0.0134371556402954,"4856/4086/9518/7042/8200/168667/3725",7
"GO:0019932","GO:0019932","second-messenger-mediated signaling","14/285","310/18870",0.000280116253943463,0.0170370707309185,0.0134371556402954,"7412/1193/8654/5027/6444/51554/7422/287/23551/845/6662/2044/51555/1230",14
"GO:0051051","GO:0051051","negative regulation of transport","18/285","469/18870",0.00029691209453647,0.0177417998945828,0.0139929762743688,"6536/4856/26045/1193/3976/23327/5581/10008/2048/5593/5569/150/845/3592/130399/134/5743/6457",18
"GO:0030595","GO:0030595","leukocyte chemotaxis","12/285","240/18870",0.000304721777075528,0.0178945236675732,0.0141134296750771,"4856/6387/7042/1901/7130/7422/146433/9023/3592/6355/5228/1230",12
"GO:0036293","GO:0036293","response to decreased oxygen levels","14/285","315/18870",0.000329341397891901,0.019012488156268,0.0149951694454974,"7412/6659/6387/3976/360/7042/5581/3162/7422/64506/134/5743/2263/5228",14
"GO:0008016","GO:0008016","regulation of heart contraction","11/285","208/18870",0.000336142248144609,0.019081674953009,0.0150497371450008,"9096/1193/79924/6324/7042/8654/10008/287/57731/845/134",11
"GO:0050807","GO:0050807","regulation of synapse organization","12/285","244/18870",0.0003539809487348,0.0192245644898866,0.0151624342733228,"26045/23767/9252/7846/2048/84189/83992/2049/8292/57633/54674/40",12
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","12/285","244/18870",0.0003539809487348,0.0192245644898866,0.0151624342733228,"1382/23767/8153/6387/10371/23327/80031/1901/7422/6662/2263/4803",12
"GO:0045932","GO:0045932","negative regulation of muscle contraction","4/285","23/18870",0.000359701466001701,0.0192245644898866,0.0151624342733228,"8654/143872/150/5743",4
"GO:0050900","GO:0050900","leukocyte migration","16/285","396/18870",0.000365830120727957,0.0192245644898866,0.0151624342733228,"7412/4856/6387/7042/623/1901/7130/3162/7422/146433/9023/3592/6355/134/5228/1230",16
"GO:0008627","GO:0008627","intrinsic apoptotic signaling pathway in response to osmotic stress","3/285","10/18870",0.000378169647922021,0.0192245644898866,0.0151624342733228,"9181/624/5743",3
"GO:0048672","GO:0048672","positive regulation of collateral sprouting","3/285","10/18870",0.000378169647922021,0.0192245644898866,0.0151624342733228,"1382/8153/4803",3
"GO:0060502","GO:0060502","epithelial cell proliferation involved in lung morphogenesis","3/285","10/18870",0.000378169647922021,0.0192245644898866,0.0151624342733228,"7472/6662/2263",3
"GO:0050808","GO:0050808","synapse organization","18/285","483/18870",0.000421495607452385,0.0211119711615121,0.0166510339043109,"26045/23767/9252/7846/2048/57731/84189/1821/83992/2049/64101/8292/57633/54674/56097/40/1004/1008",18
"GO:0051928","GO:0051928","positive regulation of calcium ion transport","8/285","118/18870",0.000427812474476798,0.0211178157691011,0.0166556435524758,"6387/623/5027/287/2847/57620/815/1230",8
"GO:0050803","GO:0050803","regulation of synapse structure or activity","12/285","250/18870",0.000440425631894589,0.021138261206373,0.016671768890399,"26045/23767/9252/7846/2048/84189/83992/2049/8292/57633/54674/40",12
"GO:1905330","GO:1905330","regulation of morphogenesis of an epithelium","6/285","65/18870",0.000440639032781117,0.021138261206373,0.016671768890399,"3976/55366/7422/3082/7472/6662",6
"GO:0006816","GO:0006816","calcium ion transport","17/285","445/18870",0.000458985304286485,0.0217125548111079,0.0171247148616829,"1193/6387/1649/623/5581/5027/287/2847/57620/815/150/845/6355/196051/5743/1230/114780",17
"GO:0050927","GO:0050927","positive regulation of positive chemotaxis","4/285","25/18870",0.000501797567332593,0.0233507909773229,0.018416793452461,"6387/1901/7422/5228",4
"GO:0031915","GO:0031915","positive regulation of synaptic plasticity","3/285","11/18870",0.000514183594626898,0.0233507909773229,0.018416793452461,"2048/114/5743",3
"GO:0043278","GO:0043278","response to morphine","3/285","11/18870",0.000514183594626898,0.0233507909773229,0.018416793452461,"5581/114/84152",3
"GO:0001649","GO:0001649","osteoblast differentiation","12/285","257/18870",0.000563173667474855,0.0244462837062005,0.0192808097222312,"1277/338773/55603/4086/55366/7130/126820/3082/1591/6662/340419/2263",12
"GO:2001257","GO:2001257","regulation of cation channel activity","8/285","123/18870",0.000564587678091761,0.0244462837062005,0.0192808097222312,"1193/6324/10008/287/57620/845/3787/1520",8
"GO:0045687","GO:0045687","positive regulation of glial cell differentiation","5/285","45/18870",0.000565504729993207,0.0244462837062005,0.0192808097222312,"3976/1959/146433/26011/118738",5
"GO:0010631","GO:0010631","epithelial cell migration","15/285","372/18870",0.000567015975569535,0.0244462837062005,0.0192808097222312,"4856/154796/11221/7042/5581/6091/3162/8613/7422/8503/1960/57381/168667/6662/5743",15
"GO:0050926","GO:0050926","regulation of positive chemotaxis","4/285","26/18870",0.000586037263759212,0.0247464604440212,0.019517559431697,"6387/1901/7422/5228",4
"GO:0001667","GO:0001667","ameboidal-type cell migration","18/285","497/18870",0.000589087033137016,0.0247464604440212,0.019517559431697,"4856/154796/11221/7042/10371/80031/5581/6091/3162/8613/7422/8503/1960/57381/168667/6662/130399/5743",18
"GO:0002761","GO:0002761","regulation of myeloid leukocyte differentiation","8/285","124/18870",0.000595775031241848,0.0247464604440212,0.019517559431697,"3976/8111/7130/4982/146433/10234/814/1230",8
"GO:0045670","GO:0045670","regulation of osteoclast differentiation","6/285","69/18870",0.000608150256552189,0.0249561418532139,0.0196829353801038,"8111/7130/4982/10234/814/1230",6
"GO:0090132","GO:0090132","epithelium migration","15/285","375/18870",0.000615838657869951,0.0249707912941078,0.0196944894095754,"4856/154796/11221/7042/5581/6091/3162/8613/7422/8503/1960/57381/168667/6662/5743",15
"GO:0002042","GO:0002042","cell migration involved in sprouting angiogenesis","7/285","96/18870",0.000631275714087627,0.0252955892021465,0.0199506578619396,"6091/3162/7422/8503/1960/57381/5743",7
"GO:0002688","GO:0002688","regulation of leukocyte chemotaxis","8/285","126/18870",0.000662326782025374,0.0257702326663934,0.0203250096624026,"4856/6387/7130/7422/146433/3592/5228/1230",8
"GO:0042063","GO:0042063","gliogenesis","14/285","338/18870",0.000662740668349365,0.0257702326663934,0.0203250096624026,"6659/3976/11221/7846/7042/1959/1030/26227/8613/146433/8140/6662/26011/118738",14
"GO:0014072","GO:0014072","response to isoquinoline alkaloid","3/285","12/18870",0.000677937074941641,0.0257702326663934,0.0203250096624026,"5581/114/84152",3
"GO:0099560","GO:0099560","synaptic membrane adhesion","4/285","27/18870",0.000679844723183387,0.0257702326663934,0.0203250096624026,"23767/64101/1004/1008",4
"GO:0007189","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","9/285","158/18870",0.000680951538454317,0.0257702326663934,0.0203250096624026,"79924/1901/55366/196883/114/54331/150/59350/27201",9
"GO:0090130","GO:0090130","tissue migration","15/285","380/18870",0.000705179830671732,0.0263938736622848,0.0208168759730973,"4856/154796/11221/7042/5581/6091/3162/8613/7422/8503/1960/57381/168667/6662/5743",15
"GO:0007015","GO:0007015","actin filament organization","17/285","464/18870",0.000732870514774767,0.0271321410143789,0.02139914821173,"9181/4082/8153/6387/65108/1901/83543/5581/126820/10391/57731/6708/57381/283431/79822/57482/5357",17
"GO:0014015","GO:0014015","positive regulation of gliogenesis","6/285","72/18870",0.0007633110643103,0.0276793263723651,0.0218307138802348,"3976/1959/146433/8140/26011/118738",6
"GO:0045747","GO:0045747","positive regulation of Notch signaling pathway","5/285","48/18870",0.000763903898708844,0.0276793263723651,0.0218307138802348,"4856/7042/6091/3955/3714",5
"GO:0002685","GO:0002685","regulation of leukocyte migration","11/285","230/18870",0.000779665696052115,0.0279530669553,0.022046613366482,"4856/6387/623/7130/3162/7422/146433/3592/134/5228/1230",11
"GO:0051494","GO:0051494","negative regulation of cytoskeleton organization","9/285","163/18870",0.000850628016864406,0.0296833838097459,0.0234113160931086,"9181/672/1901/126820/10391/57731/6708/79822/57482",9
"GO:0006874","GO:0006874","intracellular calcium ion homeostasis","13/285","308/18870",0.000862414422416801,0.0296833838097459,0.0234113160931086,"1193/6387/1649/623/5581/5027/114/287/57620/845/6355/134/1230",13
"GO:0042492","GO:0042492","gamma-delta T cell differentiation","3/285","13/18870",0.000871502754249733,0.0296833838097459,0.0234113160931086,"6659/1960/3714",3
"GO:0045986","GO:0045986","negative regulation of smooth muscle contraction","3/285","13/18870",0.000871502754249733,0.0296833838097459,0.0234113160931086,"143872/150/5743",3
"GO:0106049","GO:0106049","regulation of cellular response to osmotic stress","3/285","13/18870",0.000871502754249733,0.0296833838097459,0.0234113160931086,"9181/624/5743",3
"GO:0021952","GO:0021952","central nervous system projection neuron axonogenesis","4/285","29/18870",0.00089850263510959,0.0299592338101132,0.0236288792791077,"6324/2048/57731/2049",4
"GO:0042476","GO:0042476","odontogenesis","8/285","132/18870",0.000898710102828586,0.0299592338101132,0.0236288792791077,"1277/360/7042/10468/4982/340419/2263/3714",8
"GO:0043266","GO:0043266","regulation of potassium ion transport","7/285","102/18870",0.000905989748221273,0.0299592338101132,0.0236288792791077,"23327/10008/287/150/845/3787/134",7
"GO:1902041","GO:1902041","regulation of extrinsic apoptotic signaling pathway via death domain receptors","5/285","50/18870",0.000922332220076318,0.0302063802074994,0.0238238039031859,"9181/672/3162/3082/23017",5
"GO:0035924","GO:0035924","cellular response to vascular endothelial growth factor stimulus","6/285","75/18870",0.000947408327119689,0.030732121544473,0.0242384566497188,"7412/6091/7422/1960/3592/5228",6
"GO:0007416","GO:0007416","synapse assembly","10/285","200/18870",0.000956998154824363,0.0307503369370923,0.0242528231490742,"26045/23767/2048/84189/2049/64101/8292/57633/54674/40",10
"GO:0086003","GO:0086003","cardiac muscle cell contraction","6/285","76/18870",0.00101579635864107,0.0323105566112007,0.0254833700503088,"6324/23327/6444/10008/287/134",6
"GO:0060441","GO:0060441","epithelial tube branching involved in lung morphogenesis","4/285","30/18870",0.0010245273382295,0.0323105566112007,0.0254833700503088,"7472/6662/340419/2263",4
"GO:0050731","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","9/285","168/18870",0.00105320652510347,0.0327715937810259,0.0258469905520221,"9181/85480/3976/8613/7422/146433/3082/150/3592",9
"GO:1904062","GO:1904062","regulation of monoatomic cation transmembrane transport","13/285","315/18870",0.00105838969932849,0.0327715937810259,0.0258469905520221,"1193/6324/623/23327/5581/5027/10008/287/57620/150/845/3787/1520",13
"GO:0042472","GO:0042472","inner ear morphogenesis","7/285","105/18870",0.0010747522831675,0.0329784349231396,0.0260101263787905,"9096/2048/84189/6662/2263/5357/220",7
"GO:0050930","GO:0050930","induction of positive chemotaxis","3/285","14/18870",0.0010968411740838,0.03335572356187,0.0263076943257694,"6387/7422/5228",3
"GO:0001894","GO:0001894","tissue homeostasis","12/285","279/18870",0.00115088738476127,0.0343852844955868,0.027119710119213,"338773/9079/7846/1901/5027/7422/4982/8029/368/6662/57482/5743",12
"GO:0060249","GO:0060249","anatomical structure homeostasis","12/285","279/18870",0.00115088738476127,0.0343852844955868,0.027119710119213,"338773/9079/7846/1901/5027/7422/4982/8029/368/6662/57482/5743",12
"GO:0050772","GO:0050772","positive regulation of axonogenesis","6/285","78/18870",0.00116389423391345,0.0344715109626887,0.0271877170246875,"1382/8153/6387/6091/7422/4803",6
"GO:0045685","GO:0045685","regulation of glial cell differentiation","6/285","79/18870",0.00124387356267542,0.0365227013316594,0.0288054930303782,"3976/11221/1959/146433/26011/118738",6
"GO:1902105","GO:1902105","regulation of leukocyte differentiation","13/285","321/18870",0.00125480209893325,0.0365286833245013,0.0288102110344368,"6659/3976/11221/8111/7130/4982/146433/1960/8651/10234/8744/814/1230",13
"GO:0034329","GO:0034329","cell junction assembly","16/285","446/18870",0.00129747464337306,0.0366537651116164,0.0289088631717542,"26045/23767/5010/10391/7422/2048/287/84189/2049/64101/8292/57633/54674/40/1004/1008",16
"GO:0060425","GO:0060425","lung morphogenesis","5/285","54/18870",0.00131086031873838,0.0366537651116164,0.0289088631717542,"3976/7472/6662/340419/2263",5
"GO:0061178","GO:0061178","regulation of insulin secretion involved in cellular response to glucose stimulus","5/285","54/18870",0.00131086031873838,0.0366537651116164,0.0289088631717542,"8111/5581/114/150/2044",5
"GO:0086009","GO:0086009","membrane repolarization","5/285","54/18870",0.00131086031873838,0.0366537651116164,0.0289088631717542,"6324/23327/10008/287/845",5
"GO:0061036","GO:0061036","positive regulation of cartilage development","4/285","32/18870",0.0013129064426357,0.0366537651116164,0.0289088631717542,"4086/5593/8200/6662",4
"GO:0061387","GO:0061387","regulation of extent of cell growth","7/285","109/18870",0.00133711195165714,0.0370260431491401,0.029202479252281,"1382/8153/6387/10371/80031/7422/4803",7
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","15/285","407/18870",0.00140167915455326,0.0384565636740893,0.0303307322978879,"6387/11221/6489/7042/1030/6091/3162/7422/8200/1960/3592/7472/6662/2263/5228",15
"GO:0030500","GO:0030500","regulation of bone mineralization","6/285","81/18870",0.00141638023994808,0.0384565636740893,0.0303307322978879,"338773/55603/1901/5027/6662/1230",6
"GO:0002686","GO:0002686","negative regulation of leukocyte migration","5/285","55/18870",0.0014244057883882,0.0384565636740893,0.0303307322978879,"4856/6387/7130/3162/134",5
"GO:0007188","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","11/285","248/18870",0.00143393528673204,0.0384565636740893,0.0303307322978879,"79924/1901/55366/196883/114/2847/54331/150/59350/27201/134",11
"GO:0043618","GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress","4/285","33/18870",0.00147643318653008,0.0392869643228238,0.0309856701646773,"1649/3162/7422/3725",4
"GO:1901888","GO:1901888","regulation of cell junction assembly","10/285","213/18870",0.00153660832701238,0.0405198652413697,0.031958060418449,"26045/23767/7422/2048/84189/2049/8292/57633/54674/40",10
"GO:0034765","GO:0034765","regulation of monoatomic ion transmembrane transport","16/285","454/18870",0.00155652899890439,0.0405198652413697,0.031958060418449,"6536/1193/6324/623/23327/5581/5027/10008/2048/287/57620/150/845/3787/40/1520",16
"GO:0032535","GO:0032535","regulation of cellular component size","14/285","370/18870",0.00157103969700472,0.0405198652413697,0.031958060418449,"1382/8153/6387/10371/80031/5581/5027/7422/57731/6708/79822/57482/4803/5357",14
"GO:0034763","GO:0034763","negative regulation of transmembrane transport","8/285","144/18870",0.00157294931569184,0.0405198652413697,0.031958060418449,"6536/1193/23327/5581/10008/2048/150/845",8
"GO:0014855","GO:0014855","striated muscle cell proliferation","6/285","83/18870",0.0016065538092747,0.0405198652413697,0.031958060418449,"4086/7042/3082/7472/26011/2263",6
"GO:0010001","GO:0010001","glial cell differentiation","11/285","252/18870",0.00162799770168587,0.0405198652413697,0.031958060418449,"6659/3976/11221/7846/1959/26227/8613/146433/6662/26011/118738",11
"GO:0032793","GO:0032793","positive regulation of CREB transcription factor activity","3/285","16/18870",0.00165013889771509,0.0405198652413697,0.031958060418449,"9252/114/2044",3
"GO:0045779","GO:0045779","negative regulation of bone resorption","3/285","16/18870",0.00165013889771509,0.0405198652413697,0.031958060418449,"338773/5027/4982",3
"GO:0047484","GO:0047484","regulation of response to osmotic stress","3/285","16/18870",0.00165013889771509,0.0405198652413697,0.031958060418449,"9181/624/5743",3
"GO:0048841","GO:0048841","regulation of axon extension involved in axon guidance","4/285","34/18870",0.00165362926263957,0.0405198652413697,0.031958060418449,"6387/10371/80031/7422",4
"GO:0086019","GO:0086019","cell-cell signaling involved in cardiac conduction","4/285","34/18870",0.00165362926263957,0.0405198652413697,0.031958060418449,"9096/6324/287/845",4
"GO:1901016","GO:1901016","regulation of potassium ion transmembrane transporter activity","5/285","57/18870",0.0016730089869324,0.0407019186392269,0.0321016461251992,"23327/10008/287/845/3787",5
"GO:0051261","GO:0051261","protein depolymerization","7/285","115/18870",0.00182163366019951,0.0433401537684299,0.0341824249519526,"9181/344148/57731/6708/81930/57482/6457",7
"GO:0045936","GO:0045936","negative regulation of phosphate metabolic process","14/285","376/18870",0.00182388303509814,0.0433401537684299,0.0341824249519526,"624/11221/7453/7042/623/1030/8613/2048/84152/3082/8651/5569/57761/23705",14
