"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04211","Organismal Systems","Aging","hsa04211","Longevity regulating pathway","30/1023","90/9447",7.89548411945429e-09,2.41888922568736e-07,1.34487672082571e-07,"8660/90993/9586/2308/2309/5562/6009/5295/51422/196883/83667/2475/114/8503/5567/847/143686/3480/5468/5290/5293/3667/27244/814/1385/64764/4893/9474/7157/5970",30
"hsa05214","Human Diseases","Cancer: specific types","hsa05214","Glioma","27/1023","76/9447",9.31336193800023e-09,2.6155024775884e-07,1.45419160084565e-07,"4616/5894/5295/5728/2475/8503/57118/815/1026/4193/1019/801/3480/5290/5604/5159/5336/5293/6655/5154/53358/814/4893/1021/5156/7157/5595",27
"hsa05220","Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","27/1023","77/9447",1.28856437249119e-08,3.34035533484255e-07,1.85720209152577e-07,"7048/4616/4609/5894/5295/7042/4088/6777/6776/8503/1026/4193/4792/1019/5290/5604/861/5293/6655/5781/53358/3066/4893/1021/7157/5970/5595",27
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","30/1023","93/9447",1.86988668564501e-08,4.50108437901691e-07,2.50255511311888e-07,"4616/4609/3908/3912/5295/1282/1030/5728/836/1284/1286/3909/8503/1026/4792/3673/1019/3915/3918/5290/6502/7187/5293/9618/1285/1287/1021/5743/7157/5970",30
"hsa04931","Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","32/1023","109/9447",7.89183265911406e-08,1.77303173741429e-06,9.85786816366529e-07,"8660/90993/9586/2308/5562/5834/5500/5295/6774/51422/5728/5581/6196/9945/2475/8503/1374/4792/5602/5290/10999/5293/57761/5781/3667/1385/5499/64764/7376/9882/5970/6720",32
"hsa04068","Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","36/1023","133/9447",1.22408823816595e-07,2.57823585163704e-06,1.43347175258908e-06,"8660/7048/4616/2308/2309/5562/5894/604/11067/5295/7042/6774/4088/51422/1030/5728/1901/114907/8503/1026/4193/5602/847/11345/3480/5290/5604/6502/5293/6655/10769/3667/4893/6446/5595/8743",36
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","30/1023","106/9447",4.83383992092603e-07,9.58237678442395e-06,5.32769972708875e-06,"90993/9586/2308/5894/5295/3326/5728/2475/8503/1026/4193/4792/56034/3480/5290/5604/5159/5293/6655/2119/5154/1385/64764/4893/5156/2263/7157/5970/3320/5595",30
"hsa04530","Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","41/1023","170/9447",5.15496973911532e-07,9.65124890045479e-06,5.36599189217852e-06,"9181/10092/7277/9414/5562/154796/9475/10093/5010/7846/51421/23327/51422/5581/4217/10627/60/1741/81/5567/5602/6093/1019/5516/5111/4771/8531/10096/861/4637/103910/3996/71/84552/3725/11149/10376/140465/123720/10094/9223",41
"hsa01521","Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","25/1023","80/9447",5.64319624217265e-07,1.00092480716431e-05,5.56503562940017e-06,"2309/5894/5295/6774/5728/2475/7422/8503/56034/3082/3480/5290/5604/5159/3717/5336/5293/6655/5154/53358/4893/5156/2263/3570/5595",25
"hsa04072","Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","37/1023","149/9447",8.61969550980094e-07,1.45241869340146e-05,8.0752936881293e-06,"1759/6009/5894/5321/5295/9265/10555/8613/196883/2475/114/8503/160851/6237/56034/8611/5290/5604/5159/2768/5336/5293/6655/375/5781/5154/53358/1902/5900/22800/4893/23236/5156/5737/5595/8525/2185",37
"hsa04213","Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","21/1023","62/9447",1.02976351053009e-06,1.63998103646757e-05,9.11812039641506e-06,"8660/2308/2309/5562/5295/51422/196883/2475/3310/114/8503/5567/847/3480/5290/5293/3667/1979/3066/4893/9474",21
"hsa04015","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","47/1023","212/9447",1.07061076564649e-06,1.63998103646757e-05,9.11812039641506e-06,"7094/7057/10235/5894/5295/5881/9771/57568/5587/196883/60/7422/114/8503/6237/56034/27006/3082/9855/801/3480/5290/5217/5604/5159/1945/5293/5154/5606/71/84552/51466/1902/5900/64411/6494/4893/7424/26037/9223/23236/5156/2263/4803/5228/5595/1435",47
"hsa05163","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","49/1023","227/9447",1.44790186697071e-06,2.09342343751126e-05,1.16392119905358e-05,"90993/9586/9475/4609/6009/6387/5894/59345/5295/5881/6774/2790/836/196883/2475/7422/114/8503/11214/1026/4193/5567/4792/6093/1019/801/5290/5604/54331/2783/2768/5293/6655/2002/3709/1385/64764/4893/23365/1021/5743/23236/5156/7157/1230/3570/5970/5595/2185",49
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","60/1023","300/9447",1.49086535609111e-06,2.09342343751126e-05,1.16392119905358e-05,"1843/783/7048/4616/4609/10235/6722/1326/5894/11221/9252/5321/3164/1649/2668/7042/5881/1847/836/6196/4217/7422/5598/3310/3315/6237/2316/5567/56034/5602/5536/27006/3082/8491/3480/5604/5159/5495/1945/2768/6655/1845/5154/2002/5606/994/3725/22800/6788/4893/7424/5156/2263/7157/4803/5228/4215/5970/5595/1435",60
"hsa04210","Cellular Processes","Cell growth and death","hsa04210","Apoptosis","34/1023","137/9447",2.41645834726177e-06,3.25738585210886e-05,1.81107194026356e-05,"8837/4616/7277/5894/5295/1649/7846/4170/836/10038/4217/60/8503/1075/4792/5602/823/5290/5604/5293/71/3725/4001/27113/3709/10376/5783/4893/7157/4803/5970/5595/8743/1520",34
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","28/1023","103/9447",2.78829160153267e-06,3.61405488352503e-05,2.00937613389803e-05,"338382/1277/3908/3912/5295/1281/7042/1282/836/1284/1286/3909/8503/81/7414/1278/3315/5567/3915/3918/5290/5272/3592/5293/1285/1287/23236/5970",28
"hsa05210","Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","25/1023","87/9447",3.17808664082361e-06,3.8986028972137e-05,2.16758180760281e-05,"7048/4616/4609/5894/5295/8313/7042/5881/4088/836/2475/8503/1026/5602/5290/5604/5293/6655/3725/5900/27113/4893/7157/5595/4292",25
"hsa05161","Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","38/1023","163/9447",3.2391952855188e-06,3.8986028972137e-05,2.16758180760281e-05,"90993/7048/9586/4609/57506/5894/5295/7042/6774/1959/4088/6777/6776/836/8503/1026/1960/4792/5602/890/5111/5290/5604/7187/3717/5293/6655/2002/5606/3725/1385/64764/4893/7157/5970/7529/5595/2185",38
"hsa05212","Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","23/1023","77/9447",3.79418989647237e-06,4.15027496030432e-05,2.30750880191838e-05,"7048/4616/5894/5295/7042/5881/6774/4088/10928/2475/7422/8503/1026/5602/1019/5290/5604/5293/5900/1021/7157/5970/5595",23
"hsa01522","Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","27/1023","99/9447",3.91224359010481e-06,4.15027496030432e-05,2.30750880191838e-05,"8202/5894/5295/196883/2475/114/8503/182/1026/4193/5567/5602/1019/3480/5290/5604/2852/5293/6655/53358/3725/4893/4851/54567/3714/7157/5595",27
"hsa05231","Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","27/1023","99/9447",3.91224359010481e-06,4.15027496030432e-05,2.30750880191838e-05,"10810/6009/5894/5321/5295/5881/8613/2475/8503/160851/56034/5602/8611/8936/5290/5604/5159/5293/6655/5154/3725/5900/57153/4893/5156/5595/8525",27
"hsa04071","Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","31/1023","122/9447",3.94091390889431e-06,4.15027496030432e-05,2.30750880191838e-05,"9475/5894/624/5295/5881/5728/1901/5581/4217/8503/5602/6093/5516/91012/5290/5604/55304/2768/5293/8560/134/4363/4893/166929/23236/253782/7157/5970/10715/5595/8439",31
"hsa04022","Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","38/1023","166/9447",5.14670035863385e-06,5.18024816483938e-05,2.88016296530192e-05,"8660/90993/9586/147/9475/7225/488/6722/5894/624/5500/8654/476/5581/196883/5592/114/5593/7417/6093/801/5604/150/2768/4205/3667/134/3709/6546/1385/5499/64764/3778/23236/3764/490/5595/4209",38
"hsa05218","Human Diseases","Cancer: specific types","hsa05218","Melanoma","22/1023","73/9447",5.22636313366585e-06,5.18024816483938e-05,2.88016296530192e-05,"4616/5894/5295/5728/8503/1026/4193/56034/1019/27006/3082/3480/5290/5604/5159/5293/5154/4893/1021/5156/7157/5595",22
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","30/1023","119/9447",6.67563391265462e-06,6.42768179589888e-05,3.57372281639857e-05,"7412/8837/90993/9586/3976/1326/9252/5295/836/4217/8503/182/4792/5602/7128/7133/5290/5604/7187/5293/5606/3725/6868/1385/64764/7424/5743/5970/5595/1435",30
"hsa04910","Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","33/1023","138/9447",8.00336365933686e-06,7.33056995578863e-05,4.07571904460527e-05,"8660/2308/5562/6009/5894/5834/5500/5295/51422/2475/8503/5567/2319/3632/5602/801/8651/10580/5290/5604/5255/5293/6655/3667/2002/53358/5499/23265/4893/10211/5577/5595/6720",33
"hsa04140","Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","38/1023","169/9447",8.04840024819523e-06,7.33056995578863e-05,4.07571904460527e-05,"338382/8660/8837/5562/6009/9706/5894/5295/10241/7314/64419/81671/64689/5728/10010/55062/2475/8503/84557/6237/79065/5567/8878/5602/5516/11345/3480/5290/5604/5293/3667/58476/23604/57617/22800/4893/9474/5595",38
"hsa04115","Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","22/1023","75/9447",8.51224251840137e-06,7.54901507552964e-05,4.19717221128932e-05,"4616/896/84883/7057/5728/836/8493/83667/3732/64393/1026/4193/1019/143686/27244/25946/27113/92344/1021/7157/9540/10848",22
"hsa05225","Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","38/1023","170/9447",9.30999877688088e-06,8.0447938148945e-05,4.47281992519513e-05,"8325/7048/4616/7296/6603/4609/5894/5295/8313/7855/7042/4088/5728/3162/60/2475/8503/1026/2941/1019/3082/3480/5290/5604/5336/5293/6655/7472/8323/2002/71/53358/8322/4893/1021/1728/7157/5595",38
"hsa04935","Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","30/1023","122/9447",1.13870519449726e-05,9.59359126363943e-05,5.33393485843454e-05,"8660/90993/9586/5894/5295/6774/6777/6776/196883/2475/114/8503/5567/5602/8651/5290/5604/3717/5336/5293/6655/3667/5606/53358/3709/1385/64764/4893/23236/5595",30
"hsa05230","Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","21/1023","71/9447",1.17886646241971e-05,9.68970726427908e-05,5.38737433403616e-05,"4609/5894/2744/5295/5728/6510/2475/8503/5290/8140/5604/5159/3939/5293/3418/4893/5156/2263/7157/5595/5162",21
"hsa05223","Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","21/1023","73/9447",1.89062836603763e-05,0.000151700418893972,8.43438218432827e-05,"4616/2309/5894/5295/6774/6777/6776/8503/3799/1026/1019/3082/5290/5604/5336/5293/6655/4893/1021/7157/5595",21
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","35/1023","157/9447",2.20950686071065e-05,0.000173163677223137,9.62771655340259e-05,"8325/7048/896/154796/4086/4609/5500/8313/7855/85407/7042/4088/8463/60/1741/151449/8200/7003/126374/5516/4771/7004/7005/7472/8323/3996/71/84552/27113/1742/8322/5499/6788/7529/55233",35
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","39/1023","184/9447",2.63410307203964e-05,0.000201748348926672,0.000112169939431353,"9475/3983/6387/7225/85464/5894/5295/5881/10371/80031/5364/6091/10627/2050/2048/8503/151449/815/2051/6237/6093/219699/5290/2049/64101/1945/103910/5336/5293/5781/7869/84552/2043/4893/23365/9901/2044/1072/5595",39
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","42/1023","205/9447",3.07803686107478e-05,0.000224432170194592,0.000124781903153639,"90993/9586/896/6722/5295/6774/1959/6777/1030/6776/3516/836/8503/81/9114/51564/1026/4193/1960/5567/4792/890/1019/2965/2961/5290/6502/7187/5293/3725/1108/3066/1385/64764/4893/10014/2934/1021/7157/5970/7529/5595",42
"hsa05213","Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","18/1023","59/9447",3.09380802567496e-05,0.000224432170194592,0.000124781903153639,"4616/2309/4609/5894/5295/8313/5728/8503/1026/5290/5604/5293/6655/2002/4893/7157/5595/4292",18
"hsa04919","Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","29/1023","122/9447",3.15211540143581e-05,0.000224432170194592,0.000124781903153639,"2308/4609/6009/8202/488/5894/5295/476/1734/6567/60/2475/8503/4193/5567/5290/5604/5336/5293/71/9282/3066/4893/23236/4851/1827/9882/7157/5595",29
"hsa04350","Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","27/1023","110/9447",3.1966599909022e-05,0.000224432170194592,0.000124781903153639,"7048/4052/4086/4609/7057/3625/7042/4088/285704/1030/7050/4681/10468/83729/151449/8200/2014/6093/5516/91/7027/130399/3066/60436/3624/8454/5595",27
"hsa05131","Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","49/1023","253/9447",3.31761115569806e-05,0.000228170399891887,0.000126860319165254,"9181/2308/7094/10092/2309/9475/10093/9252/5295/9265/10241/7314/5581/10318/10627/60/55062/2475/8503/81/84557/7414/23176/4193/4792/8878/5602/6093/823/8936/5290/5217/10096/103910/5336/5293/375/71/23048/3725/3709/10094/9474/23236/7157/4793/8454/5970/5595",49
"hsa05224","Human Diseases","Cancer: specific types","hsa05224","Breast cancer","33/1023","148/9447",3.74729556176948e-05,0.000252567720863263,0.000140424970525256,"8325/672/4616/4609/8202/5894/5295/8313/7855/5728/2475/8503/182/1026/1019/27006/3480/5290/5604/5293/6655/7472/8323/53358/3725/8322/4893/1021/4851/54567/3714/7157/5595",33
"hsa04917","Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","20/1023","71/9447",4.15366601178192e-05,0.000274467734504021,0.000152601145530894,"2309/5894/5295/6774/6777/6776/8503/5602/8651/5290/5604/3717/5293/6655/53358/2592/4893/9655/5970/5595",20
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","14/1023","41/9447",5.90121392258359e-05,0.000377429327728797,0.000209846697909499,"4609/7057/5894/9252/1890/7422/1026/4193/1019/5604/23604/4893/7157/5595",14
"hsa04611","Organismal Systems","Immune system","hsa04611","Platelet activation","29/1023","126/9447",5.94247817174497e-05,0.000377429327728797,0.000209846697909499,"1277/7094/9475/10235/5500/5321/5295/1281/10627/196883/60/5592/114/5593/8503/1278/5567/6093/3673/5290/103910/5336/5293/71/3709/5499/23365/23236/5595",29
"hsa04014","Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","46/1023","238/9447",6.04782899031307e-05,0.000377429327728797,0.000209846697909499,"23179/10235/5894/59345/5321/5295/5881/9771/2790/10928/7422/8503/6237/5567/27/56034/5602/27006/3082/801/3480/5290/5604/5159/54331/2783/1945/5336/5293/6655/5781/5154/2002/53358/5900/22800/8036/4893/7424/5156/2263/4803/5228/5970/5595/1435",46
"hsa05221","Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","19/1023","68/9447",7.25937013535728e-05,0.000444801406475528,0.000247304858199731,"7704/4609/5894/5295/6774/6777/6776/2475/8503/890/5290/5604/861/5292/5293/6655/4893/5970/5595",19
"hsa04152","Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","28/1023","122/9447",8.35299097703883e-05,0.000502671064153944,0.000279479773291901,"8660/90993/9586/2308/2309/5562/6009/5295/51422/3952/55437/6319/2475/8503/1374/890/5516/3480/5468/5290/23417/5293/3667/81617/1385/64764/23216/6720",28
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","31/1023","142/9447",9.71995967524668e-05,0.000571488300234393,0.000317741425712079,"9181/1843/7412/5562/5295/3326/5881/4217/3162/60/7422/5598/6382/8503/2941/8878/5602/801/5290/858/5293/857/5154/4205/71/3725/2817/1728/7157/5970/3320",31
"hsa04921","Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","33/1023","155/9447",9.83570368355929e-05,0.000571488300234393,0.000317741425712079,"783/54776/5562/9475/5894/5500/5321/51422/196883/60/5598/114/57118/815/1026/5567/6093/801/5604/4637/2002/71/3725/3709/814/5499/140465/4893/5743/23236/3768/1827/5595",33
"hsa05132","Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","47/1023","251/9447",0.000112948597684953,0.000645147074912357,0.000358694922175229,"338382/10810/10092/7277/9475/388/4609/5894/10093/302/3326/9265/7846/836/10381/10627/60/3799/6237/2316/4792/5602/57381/5290/5217/5604/10096/103910/26999/3831/5293/375/257364/5606/71/3725/57617/51429/10376/23265/10787/10094/79026/5970/3320/5595/8743",47
"hsa04550","Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","31/1023","144/9447",0.000127748430571571,0.000717520351710324,0.000398933695469117,"8325/4086/4609/3625/3976/5894/5295/8313/7855/6774/4088/83729/8503/3480/5290/5604/91/3717/5293/7472/8323/130399/3720/8322/6926/6929/4893/7994/2263/3624/5595",31
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","22/1023","89/9447",0.000150800773255166,0.000833112468639193,0.000463201684890759,"1277/7057/3908/3912/1282/8515/1284/1286/6382/3909/1278/1298/3673/3915/3918/3696/3161/8516/961/1285/1287/7058",22
"hsa05235","Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","22/1023","90/9447",0.000179583732112051,0.000976124479383242,0.000542714844073769,"5894/5295/6774/5728/2475/8503/4792/55509/5290/5604/3717/5293/5781/5606/3725/4893/3459/29126/4793/4215/5970/5595",22
"hsa04270","Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","29/1023","134/9447",0.000189325335371116,0.00101274028603279,0.000563072843710252,"54776/147/9475/5894/79924/94274/5500/5321/5581/196883/5592/114/5567/6093/59/800/801/133/5604/4637/2768/3709/5499/140465/72/23365/3778/23236/5595",29
"hsa04725","Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","26/1023","116/9447",0.000222282389268084,0.00117045570598975,0.000650760942265114,"90993/9586/59345/5295/2790/196883/114/8503/815/5567/3786/5290/5604/54331/2783/3717/5293/3709/814/1385/64764/4893/1129/23236/3768/5595",26
"hsa04540","Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","22/1023","92/9447",0.000252031981544808,0.00129672866965384,0.000720967369040713,"7277/5894/7846/10381/196883/5598/5592/114/5593/5567/56034/5604/5159/6655/5154/1902/3709/10376/4893/23236/5156/5595",22
"hsa04012","Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","21/1023","86/9447",0.000253958730555352,0.00129672866965384,0.000720967369040713,"4609/5894/5295/6777/6776/2475/8503/815/1026/27/5602/5290/5604/5336/5293/6655/2002/53358/3725/4893/5595",21
"hsa04666","Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","23/1023","99/9447",0.000289895184116859,0.00143668642716738,0.000798782395863792,"10810/10092/4082/5894/10093/65108/5321/5295/273/5581/8613/8503/8611/8936/5290/5604/10096/5336/5293/2934/10094/1072/5595",23
"hsa04750","Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","23/1023","99/9447",0.000289895184116859,0.00143668642716738,0.000798782395863792,"624/5500/5321/5295/623/5581/3269/196883/114/8503/815/5567/5602/801/5290/5336/5293/5606/3709/5499/23236/40/4803",23
"hsa05211","Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","18/1023","70/9447",0.000349666071008155,0.0017077893613007,0.000949512748122831,"5894/5295/7042/7422/8503/1026/3082/5290/5604/5293/6655/2034/5781/3725/4893/9915/6921/5595",18
"hsa04062","Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","37/1023","193/9447",0.000365760439499687,0.00176087525873421,0.000979027943322471,"2309/9475/10235/6387/5894/59345/5295/5881/6774/6777/2790/196883/114/8503/5567/4792/6093/2869/5290/5604/54331/2783/58191/3717/5336/5293/6655/6355/53358/4893/23236/4793/1230/5970/2870/5595/2185",37
"hsa04923","Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","16/1023","59/9447",0.000385293192985983,0.00182878600051094,0.00101678559453677,"57104/8660/5295/51099/63924/196883/5592/114/5593/8503/5567/5290/5293/3667/134/5743",16
"hsa04371","Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","29/1023","140/9447",0.000414267553662513,0.00193900229978148,0.00107806468643169,"5562/5894/59345/4088/51422/2790/5581/196883/2475/114/84557/182/6237/5567/59/801/5604/54331/2783/4205/3709/6546/22800/814/4893/10014/23236/5595/4209",29
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","37/1023","196/9447",0.000498879429761515,0.00230304613465248,0.00128046919246647,"4609/5894/59345/5295/6774/7314/2790/836/2475/7422/8503/84557/1026/4792/5602/1019/801/5290/5604/54331/2783/7187/3717/5336/5293/3725/3709/1385/4893/3459/1021/5743/1827/7157/1230/5970/5595",37
"hsa00600","Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","15/1023","55/9447",0.000544436836679749,0.00247939478325777,0.00137851716826451,"8613/55331/8611/91012/10825/142891/2629/55304/8560/2760/57704/166929/253782/2531/10715",15
"hsa05206","Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","54/1023","320/9447",0.000569944141933167,0.00256094901108637,0.00142386045282953,"8660/6659/672/4082/4609/7057/5894/9252/2744/5295/7042/6774/5728/4170/836/5581/3162/27250/2475/7422/5598/8503/1026/4193/6093/8651/5290/5604/5159/1945/27086/5292/5336/5293/6655/1591/5154/3667/10253/994/4363/3066/2146/7078/4893/10014/599/1021/5743/5156/4851/23414/7157/5595",54
"hsa04392","Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","10/1023","29/9447",0.000616966147782113,0.00273575778687595,0.00152105227569551,"8463/8642/79633/7003/126374/4771/7004/7005/6788/55233",10
